,symbol,event,server_time,received_time,price,vol,bid,ask,valid,outliner,server_year,server_month,server_day,server_hour,server_minute
0,CNE LN Equity,ASK_CHANGE,1664451376535330,1664451377210455,254.2,1692,254.0,254.4,True,True,2022,9,29,18,36
1,CNE LN Equity,ASK_CHANGE,1664451376539541,1664451377214767,254.2,1692,254.0,254.4,True,True,2022,9,29,18,36
2,CNE LN Equity,BID_CHANGE,1664451376539598,1664451377218490,254.2,1692,254.0,254.4,True,True,2022,9,29,18,36
3,CNE LN Equity,ASK_CHANGE,1664451376539611,1664451377222651,254.2,1692,254.0,254.4,True,True,2022,9,29,18,36
4,CNE LN Equity,BID_CHANGE,1664451376604863,1664451377225040,254.2,1692,254.0,254.4,True,True,2022,9,29,18,36
5,CNE LN Equity,ASK_CHANGE,1664451377329462,1664451377330853,254.2,1692,254.0,254.4,True,False,2022,9,29,18,36
6,CNE LN Equity,TRADE,1664451391252623,1664451391254388,254.2,1693,254.0,254.4,True,True,2022,9,29,18,36
7,CNE LN Equity,BID_CHANGE,1664451393176743,1664451393178467,254.2,1693,254.0,254.4,True,True,2022,9,29,18,36
8,CNE LN Equity,ASK_CHANGE,1664451393176825,1664451393181782,254.2,1693,254.0,254.4,True,True,2022,9,29,18,36
9,CNE LN Equity,ASK_CHANGE,1664451402865569,1664451402867990,254.2,1693,254.0,254.4,True,True,2022,9,29,18,36
10,CNE LN Equity,TRADE,1664451402865669,1664451402893765,254.0,1694,254.0,254.4,True,True,2022,9,29,18,36
11,CNE LN Equity,TRADE,1664451402865841,1664451402903921,254.0,1695,254.0,254.4,True,False,2022,9,29,18,36
12,CNE LN Equity,BID_CHANGE,1664451402865909,1664451402916614,254.0,1695,254.0,254.4,True,False,2022,9,29,18,36
13,CNE LN Equity,ASK_CHANGE,1664451402865932,1664451402923711,254.0,1695,254.0,254.4,True,False,2022,9,29,18,36
14,CNE LN Equity,TRADE,1664451402866081,1664451402929055,254.0,1696,254.0,254.4,True,False,2022,9,29,18,36
15,CNE LN Equity,BID_CHANGE,1664451402866123,1664451402933169,254.0,1696,254.0,254.4,True,False,2022,9,29,18,36
16,CNE LN Equity,ASK_CHANGE,1664451402866137,1664451402937476,254.0,1696,254.0,254.0,True,False,2022,9,29,18,36
17,CNE LN Equity,TRADE,1664451402866160,1664451402943300,254.0,1697,254.0,254.0,True,False,2022,9,29,18,36
